id,tx,ty,tz,qx,qy,qz,qw,t
135,-25546.925781,-310.107422,320.439270,-0.000264,0.000262,0.709117,0.705091,4.533333
136,-25549.509766,-54.585938,320.919800,-0.000362,0.000360,0.709101,0.705107,4.566667
137,-25552.078125,199.585938,321.397827,-0.000461,0.000458,0.709084,0.705124,4.600000
138,-25554.634766,452.355469,321.873199,-0.000558,0.000555,0.709068,0.705140,4.633333
139,-25557.173828,703.675781,322.345856,-0.000655,0.000652,0.709052,0.705156,4.666667
140,-25559.699219,953.496094,322.815704,-0.000752,0.000748,0.709036,0.705172,4.700000
141,-25562.208984,1201.765625,323.282623,-0.000847,0.000843,0.709020,0.705188,4.733333
142,-25564.703125,1448.443359,323.746552,-0.000943,0.000938,0.709004,0.705203,4.766667
143,-25567.179688,1693.476562,324.207397,-0.001037,0.001032,0.708988,0.705219,4.800000
144,-25569.638672,1936.812500,324.665039,-0.001131,0.001125,0.708972,0.705235,4.833333
145,-25572.082031,2178.406250,325.119385,-0.001224,0.001218,0.708957,0.705250,4.866667
146,-25574.505859,2418.205078,325.570374,-0.001317,0.001310,0.708941,0.705265,4.900000
147,-25576.912109,2656.162109,326.017883,-0.001409,0.001402,0.708926,0.705280,4.933333
148,-25579.296875,2892.224609,326.461853,-0.001500,0.001492,0.708910,0.705295,4.966667
149,-25581.664062,3126.345703,326.902191,-0.001590,0.001582,0.708895,0.705310,5.000000
150,-25584.009766,3358.478516,327.338776,-0.001680,0.001671,0.708880,0.705325,5.033333
151,-25586.335938,3588.574219,327.771484,-0.001769,0.001760,0.708865,0.705340,5.066667
152,-25588.640625,3816.582031,328.200317,-0.001857,0.001847,0.708850,0.705354,5.100000
153,-25590.923828,4042.453125,328.625092,-0.001944,0.001934,0.708836,0.705368,5.133333
154,-25593.185547,4266.134766,329.045776,-0.002030,0.002020,0.708821,0.705382,5.166667
155,-25595.423828,4487.583984,329.462280,-0.002115,0.002105,0.708807,0.705396,5.200000
156,-25597.638672,4706.742188,329.874420,-0.002200,0.002189,0.708792,0.705410,5.233333
157,-25599.832031,4923.570312,330.282227,-0.002284,0.002273,0.708778,0.705424,5.266667
158,-25601.998047,5138.015625,330.685516,-0.002366,0.002355,0.708764,0.705437,5.300000
159,-25604.142578,5350.029297,331.084229,-0.002448,0.002437,0.708750,0.705451,5.333333
160,-25606.261719,5559.564453,331.478333,-0.002529,0.002517,0.708737,0.705464,5.366667
161,-25608.353516,5766.566406,331.867615,-0.002609,0.002597,0.708723,0.705477,5.400000
162,-25610.419922,5970.990234,332.252075,-0.002688,0.002675,0.708710,0.705490,5.433333
163,-25612.458984,6172.787109,332.631592,-0.002765,0.002753,0.708697,0.705503,5.466667
164,-25614.472656,6371.896484,333.006104,-0.002842,0.002829,0.708684,0.705515,5.500000
165,-25616.457031,6568.287109,333.375427,-0.002918,0.002905,0.708671,0.705527,5.533333
166,-25618.414062,6761.900391,333.739563,-0.002993,0.002979,0.708658,0.705540,5.566667
167,-25620.341797,6952.689453,334.098358,-0.003066,0.003053,0.708645,0.705551,5.600000
168,-25622.244141,7140.603516,334.451813,-0.003139,0.003125,0.708633,0.705563,5.633333
169,-25624.111328,7325.595703,334.799713,-0.003210,0.003196,0.708621,0.705575,5.666667
170,-25625.951172,7507.611328,335.142029,-0.003280,0.003266,0.708609,0.705586,5.700000
171,-25627.763672,7686.607422,335.478668,-0.003349,0.003335,0.708597,0.705597,5.733333
172,-25629.539062,7862.529297,335.809509,-0.003417,0.003403,0.708586,0.705608,5.766667
173,-25631.287109,8035.333984,336.134521,-0.003484,0.003469,0.708574,0.705619,5.800000
174,-25633.001953,8204.970703,336.453552,-0.003549,0.003534,0.708563,0.705630,5.833333
175,-25634.683594,8371.392578,336.766541,-0.003613,0.003598,0.708552,0.705640,5.866667
176,-25636.333984,8534.544922,337.073364,-0.003676,0.003661,0.708541,0.705650,5.900000
177,-25637.951172,8694.376953,337.373962,-0.003738,0.003722,0.708531,0.705660,5.933333
178,-25639.531250,8850.845703,337.668243,-0.003798,0.003783,0.708520,0.705670,5.966667
179,-25641.080078,9003.900391,337.956055,-0.003857,0.003842,0.708510,0.705680,6.000000
180,-25642.589844,9153.486328,338.237427,-0.003915,0.003899,0.708500,0.705689,6.033333
181,-25644.068359,9299.564453,338.512146,-0.003971,0.003955,0.708491,0.705698,6.066667
182,-25645.507812,9442.080078,338.780182,-0.004026,0.004010,0.708481,0.705707,6.100000
183,-25646.912109,9580.982422,339.041382,-0.004079,0.004063,0.708472,0.705715,6.133333
184,-25648.277344,9716.228516,339.295776,-0.004131,0.004116,0.708463,0.705724,6.166667
185,-25649.607422,9847.759766,339.543152,-0.004182,0.004166,0.708454,0.705732,6.200000
186,-25650.900391,9975.537109,339.783447,-0.004231,0.004215,0.708446,0.705740,6.233333
187,-25652.152344,10099.505859,340.016602,-0.004279,0.004263,0.708438,0.705748,6.266667
188,-25653.367188,10219.611328,340.242493,-0.004325,0.004309,0.708430,0.705755,6.300000
189,-25654.541016,10335.814453,340.460999,-0.004370,0.004354,0.708422,0.705762,6.333333
190,-25655.675781,10448.064453,340.672150,-0.004414,0.004397,0.708414,0.705769,6.366667
191,-25656.769531,10556.310547,340.875702,-0.004455,0.004439,0.708407,0.705776,6.400000
192,-25657.824219,10660.501953,341.071655,-0.004495,0.004479,0.708400,0.705782,6.433333
193,-25658.837891,10760.587891,341.259888,-0.004534,0.004517,0.708394,0.705789,6.466667
194,-25659.804688,10856.525391,341.440308,-0.004571,0.004554,0.708387,0.705794,6.500000
195,-25660.732422,10948.259766,341.612854,-0.004606,0.004589,0.708381,0.705800,6.533333
196,-25661.615234,11035.744141,341.777374,-0.004640,0.004623,0.708375,0.705806,6.566667
197,-25662.457031,11118.935547,341.933838,-0.004672,0.004655,0.708370,0.705811,6.600000
198,-25663.255859,11197.775391,342.082092,-0.004702,0.004685,0.708365,0.705816,6.633333
199,-25664.007812,11272.212891,342.222076,-0.004731,0.004714,0.708360,0.705820,6.666667
200,-25664.714844,11342.208984,342.353760,-0.004758,0.004741,0.708355,0.705824,6.700000
201,-25665.376953,11407.705078,342.476929,-0.004783,0.004766,0.708351,0.705828,6.733333
202,-25665.994141,11468.662109,342.591553,-0.004807,0.004790,0.708346,0.705832,6.766667
203,-25666.562500,11525.017578,342.697571,-0.004828,0.004811,0.708343,0.705836,6.800000
204,-25667.085938,11576.736328,342.794800,-0.004848,0.004831,0.708339,0.705839,6.833333
205,-25667.562500,11623.759766,342.883240,-0.004867,0.004849,0.708336,0.705842,6.866667
206,-25667.988281,11666.044922,342.962769,-0.004883,0.004866,0.708333,0.705844,6.900000
207,-25668.367188,11703.537109,343.033325,-0.004897,0.004880,0.708331,0.705847,6.933333
208,-25668.697266,11736.189453,343.094727,-0.004910,0.004893,0.708329,0.705849,6.966667
209,-25668.978516,11763.947266,343.146912,-0.004921,0.004903,0.708327,0.705850,7.000000
210,-25669.208984,11786.783203,343.189819,-0.004929,0.004912,0.708325,0.705852,7.033333
211,-25669.388672,11804.619141,343.223389,-0.004936,0.004919,0.708324,0.705853,7.066667
212,-25669.519531,11817.423828,343.247498,-0.004941,0.004924,0.708323,0.705854,7.100000
213,-25669.595703,11825.142578,343.261963,-0.004944,0.004927,0.708323,0.705854,7.133333
214,-25669.623047,11827.723633,343.266846,-0.004945,0.004928,0.708323,0.705854,7.166667
215,-25669.623047,11827.723633,343.266846,-0.004959,0.004914,0.710317,0.703848,7.200000
216,-25669.623047,11827.723633,343.266846,-0.004996,0.004876,0.715628,0.698447,7.233333
217,-25669.623047,11827.723633,343.266846,-0.005049,0.004821,0.723233,0.690569,7.266667
218,-25669.623047,11827.723633,343.266846,-0.005111,0.004755,0.732120,0.681140,7.300000
219,-25669.623047,11827.723633,343.266846,-0.005175,0.004685,0.741311,0.671126,7.333333
220,-25669.623047,11827.723633,343.266846,-0.005235,0.004618,0.749880,0.661537,7.366667
221,-25669.623047,11827.723633,343.266846,-0.005285,0.004562,0.756952,0.653433,7.400000
222,-25667.636719,11837.489258,343.723114,-0.005321,0.004505,0.763188,0.646139,7.433333
223,-25661.916016,11866.055664,345.037445,-0.005345,0.004432,0.769755,0.638301,7.466667
224,-25652.814453,11912.326172,347.128143,-0.005358,0.004347,0.776577,0.629985,7.500000
225,-25640.689453,11975.205078,349.913452,-0.005361,0.004250,0.783577,0.621257,7.533333
226,-25625.898438,12053.593750,353.311676,-0.005353,0.004144,0.790685,0.612186,7.566667
227,-25608.792969,12146.397461,357.241058,-0.005335,0.004031,0.797829,0.602846,7.600000
228,-25589.732422,12252.518555,361.619904,-0.005308,0.003913,0.804946,0.593311,7.633333
